,基金代码,拼音缩写,基金简称,基金类型,拼音全称
909,001213,HRYDWJZQC,华润元大稳健债券C,债券型-长债,HUARUNYUANDAWENJIANZHAIQUANC
910,001214,HTBRZZ500ETFLJA,华泰柏瑞中证500ETF联接A,指数型-股票,HUATAIBAIRUIZHONGZHENG500ETFLIANJIEA
911,001215,BSHGSYZQYJJA,博时沪港深优质企业基金A,混合型-灵活,BOSHIHUGANGSHENYOUZHIQIYEJIJINA
912,001216,YFDXSYHHA,易方达新收益混合A,混合型-灵活,YIFANGDAXINSHOUYIHUNHEA
913,001217,YFDXSYHHC,易方达新收益混合C,混合型-灵活,YIFANGDAXINSHOUYIHUNHEC
914,001218,GTRYJXSYHH,国投瑞银精选收益混合,混合型-灵活,GUOTOURUIYINJINGXUANSHOUYIHUNHE
915,001219,STMGDTDYZHH,上投摩根动态多因子混合,混合型-灵活,SHANGTOUMOGENDONGTAIDUOYINZIHUNHE
916,001220,MSJYYJJXHH,民生加银研究精选混合,混合型-灵活,MINSHENGJIAYINYANJIUJINGXUANHUNHE
917,001222,PHWYCZHH,鹏华外延成长混合,混合型-灵活,PENGHUAWAIYANCHENGZHANGHUNHE
918,001223,PHWHCMYLGP,鹏华文化传媒娱乐股票,股票型,PENGHUAWENHUACHUANMEIYULEGUPIAO
919,001224,ZYXSLLHPZHH,中邮新思路灵活配置混合,混合型-灵活,ZHONGYOUXINSILULINGHUOPEIZHIHUNHE
920,001225,ZYQSJXLHPZHH,中邮趋势精选灵活配置混合,混合型-灵活,ZHONGYOUQUSHIJINGXUANLINGHUOPEIZHIHUNHE
921,001226,ZYWJTLLHPZHH,中邮稳健添利灵活配置混合,混合型-灵活,ZHONGYOUWENJIANTIANLILINGHUOPEIZHIHUNHE
922,001227,ZYXXCYLHPZHH,中邮信息产业灵活配置混合,混合型-灵活,ZHONGYOUXINXICHANYELINGHUOPEIZHIHUNHE
923,001228,GLAXXLHPZHHA,国联安鑫享灵活配置混合A,混合型-灵活,GUOLIANANXINXIANGLINGHUOPEIZHIHUNHEA
924,001229,DBFXLHPZHHA,德邦福鑫灵活配置混合A,混合型-灵活,DEBANGFUXINLINGHUOPEIZHIHUNHEA
925,001230,PHYYKJ,鹏华医药科技,股票型,PENGHUAYIYAOKEJI
926,001231,YHTLLHPZHHA,银华泰利灵活配置混合A,混合型-灵活,YINHUATAILILINGHUOPEIZHIHUNHEA
927,001232,JHHBA,嘉合货币A,货币型,JIAHEHUOBIA
928,001233,JHHBB,嘉合货币B,货币型,JIAHEHUOBIB
929,001234,GJZYHB,国金众赢货币,货币型,GUOJINZHONGYINGHUOBI
930,001235,ZYGYQYZA,中银国有企业债A,债券型-长债,ZHONGYINGUOYOUQIYEZHAIA
931,001236,BSSLZTGPA,博时丝路主题股票A,股票型,BOSHISILUZHUTIGUPIAOA
932,001237,BSSZ50ETFLJA,博时上证50ETF联接A,指数型-股票,BOSHISHANGZHENG50ETFLIANJIEA
933,001239,CSGQGGHH,长盛国企改革混合,混合型-灵活,CHANGSHENGGUOQIGAIGEHUNHE
934,001240,MSJYXJZLHBD,民生加银现金增利货币D,货币型,MINSHENGJIAYINXIANJINZENGLIHUOBID
935,001241,GSABZZ500ETFLJ,国寿安保中证500ETF联接,指数型-股票,GUOSHOUANBAOZHONGZHENG500ETFLIANJIE
